angle,distance
-0.3168862462043762,0.0
-0.30379658937454224,0.0
-0.2912519574165344,0.0
-0.2787073254585266,0.0
-0.2661626935005188,0.0
-0.253618061542511,0.0
-0.240800678730011,0.0
-0.22825652360916138,0.0
-0.21571189165115356,0.0
-0.20316725969314575,0.0
-0.19034987688064575,0.0
-0.17780524492263794,0.0
-0.16526108980178833,0.0
-0.15271645784378052,0.0
-0.13989907503128052,0.0
-0.1273544430732727,0.0
-0.11480981856584549,0.0
-0.10226518660783768,0.0
-0.08972103148698807,0.0
-0.07690364867448807,0.0
-0.06435901671648026,0.0
-0.051814381033182144,0.0
-0.03926974907517433,0.0
-0.026452843099832535,0.0
-0.013908211141824722,0.0
-0.0013635794166475534,0.0
0.011181015521287918,0.0
0.023998277261853218,0.0
0.03654283285140991,0.0
0.04908738657832146,0.0
0.061631940305233,0.0
0.07417649030685425,0.0
0.0869937539100647,0.0
0.09953831136226654,0.0
0.11208286136388779,0.0
-0.009817425161600113,4.419000148773193
0.0029997846577316523,4.353000164031982
0.015544339083135128,4.2729997634887695
0.028361599892377853,4.193999767303467
0.0409061536192894,4.172999858856201
0.05372341722249985,4.186999797821045
0.06599526107311249,4.185999870300293
0.07853981852531433,4.244999885559082
0.09081166237592697,4.304999828338623
0.10335621982812881,4.311999797821045
0.11590076982975006,4.3470001220703125
0.1273544877767563,5.702000141143799
0.275707483291626,0.0
0.2882520258426666,0.0
0.30079659819602966,0.0
0.3133411407470703,0.0
0.32588568329811096,0.0
0.338430255651474,0.0
0.35124751925468445,0.0
0.3637920618057251,0.0
0.37633663415908813,0.0
0.3888811767101288,0.0
0.40142571926116943,0.0
0.4142429828643799,0.0
0.4267875552177429,0.0
0.43933209776878357,0.0
0.4518766403198242,0.0
0.46442121267318726,0.0
0.4769657552242279,0.0
0.48978301882743835,0.0
0.502327561378479,0.0
0.514872133731842,0.0
0.5274167060852051,0.0
0.5399612188339233,0.0
0.5527784824371338,0.0
0.5653230547904968,0.0
0.5778676271438599,0.0
0.5904121398925781,0.0
0.6029567122459412,0.0
0.6155012845993042,0.0
0.6283185482025146,0.0
0.6408630609512329,0.0
0.653407633304596,0.0
0.665952205657959,0.0
